screener_rank,ticker,company_name,country,fundamental_matched,robustness_status,scenario_downside,screener_score,universe_source,updated_at,source_count,is_etf,is_adr,index_membership,source_artifact,date,market_value,market_value_proxy_source,model,status,reason,selection_rank,sector,weight,engine_weight,rank,composite_score,annual_return,selection_score,quality_flag,portfolio,prediction,actual,N,prediction_rank,selected_topk,source,log_market_value,target_source,forward_return
61.0,SIE.DE,,Germany,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1.0,False,False,static_euro_stoxx_50,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
62.0,SRG.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
63.0,STLAM.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
64.0,STM.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
65.0,SU.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1.0,False,False,static_euro_stoxx_50,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
66.0,TEN.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
67.0,TIT.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
68.0,TRN.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
69.0,TTE.PA,,France,,WARN,,0.0,static_euro_stoxx_50,2026-05-20T01:50:41+00:00,1.0,False,False,static_euro_stoxx_50,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
70.0,UCG.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
71.0,UNH,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1.0,False,False,static_sp500_core_sample,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
72.0,UNI.MI,,Italy,,WARN,,0.0,static_ftse_mib,2026-05-20T01:50:41+00:00,1.0,False,False,static_ftse_mib,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
73.0,V,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1.0,False,False,static_sp500_core_sample,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
74.0,XOM,,,,WARN,,0.0,static_sp500_core_sample,2026-05-20T01:50:41+00:00,1.0,False,False,static_sp500_core_sample,/Users/itsgennymac/GitHub/machine-learning-for-trading/research_platform_definitive/company_valuation/output/tables/ScreenerResults.csv,2026-05-21,0.0,screener_score,,,,,,,,,,,,,,,,,,,,,actual,
